turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
1,90,0,6,stop,86.21,-3.79,84.83,17,87.88,-2.12,-1.24,10.98,2.06,11.91,3.43,210,187,0.92,144,1
2,-90,0,7,stop,-86.12,3.88,-86.46,16,-87.39,2.61,2.06,11.92,-1.63,11.1,3.78,210,195,0.91,159,1
3,107,0,8,stop,102.38,-4.62,102.85,20,103.79,-3.21,-1.63,11.1,1.83,12.77,3.84,219,210,0.93,120,1
4,-107,0,9,stop,-89.34,17.66,-88.47,19,-90.17,16.83,1.83,12.78,-1.46,10.77,3.85,219,213,0.64,179,1
5,180,0,10,stop,178.15,-1.85,179.22,30,178.49,-1.51,-1.45,10.76,-0.19,15.32,4.73,283,274,1.44,107,1
6,-180,0,11,stop,-108.6,71.4,-110.85,20,-107.14,72.86,-0.21,15.33,1.83,10.77,5.0,269,274,0.59,93,1
7,-90,0,12,stop,-2.6,87.4,-5.33,19,-2.91,87.09,1.83,10.77,1.71,10.74,0.12,26,13,0.0,119,1
8,90,0,13,stop,68.49,-21.51,70.12,16,69.44,-20.56,1.71,10.74,1.87,13.58,2.85,210,196,0.5,118,1
9,-107,0,14,stop,-102.86,4.14,-104.49,21,-104.01,2.99,1.88,13.58,0.43,9.58,4.26,228,219,0.94,201,1
10,107,0,15,stop,101.77,-5.23,101.92,26,102.74,-4.26,0.42,9.56,1.73,13.06,3.73,210,213,0.92,96,1
11,-180,0,16,stop,-20.39,159.61,-19.36,20,-18.42,161.58,1.73,13.05,2.02,12.1,0.99,111,105,0.21,71,1
12,180,0,17,stop,180.09,0.09,177.55,27,176.72,-3.28,2.01,12.1,-3.05,11.46,5.1,286,266,1.2,116,1
