turn,commanded,t_rel,seq,now,flags,x,y,h,ox,oy,oh,vl,vr,i2cf,cyc,posl,posr,dutl,dutr,lexc,wrng,cycovr
1,90,-0.009,71,1365467,31,2,-59,37756,76,-190,1388,0,0,190,3321,-6263,5934,0,0,0,6,0
1,90,0.043,72,1365519,31,2,-59,37756,76,-190,1388,0,0,190,3322,-6263,5934,0,0,0,6,0
1,90,0.116,73,1365591,31,2,-59,37763,76,-190,1388,0,6,191,3325,-6263,5936,-800,800,0,6,0
1,90,0.218,74,1365663,31,1,-60,37877,76,-190,1388,-32,32,192,3328,-6286,5950,-1500,1500,0,6,0
1,90,0.259,75,1365735,31,1,-60,38221,75,-191,1542,-64,64,192,3331,-6341,6006,-2200,2200,0,6,0
1,90,0.332,76,1365807,31,1,-60,38858,75,-191,1542,-114,114,192,3334,-6447,6106,-2200,2200,0,6,0
1,90,0.405,77,1365879,31,1,-60,39663,77,-198,2507,-137,128,192,3337,-6577,6236,-2200,2200,0,6,0
1,90,0.491,78,1365951,31,1,-60,40446,81,-207,3756,-114,128,192,3340,-6705,6361,-2000,2100,0,6,0
1,90,0.547,79,1366023,31,1,-60,41205,81,-207,3756,-120,131,192,3343,-6827,6484,-1900,2000,0,6,0
1,90,0.622,80,1366095,31,1,-60,41907,87,-213,4924,-105,120,192,3346,-6941,6597,-1800,1900,0,6,0
1,90,0.691,81,1366167,31,1,-60,42589,93,-218,6012,-114,105,192,3349,-7052,6706,-1900,1800,0,6,0
1,90,0.763,82,1366239,31,1,-60,43242,93,-218,6012,-105,105,192,3352,-7158,6811,-1800,1900,0,6,0
1,90,0.835,83,1366311,31,1,-60,43895,100,-220,7042,-111,105,192,3355,-7263,6917,-1800,1800,0,6,0
1,90,0.907,84,1366383,31,1,-60,44539,107,-223,8093,-105,111,192,3358,-7366,7022,-1800,1900,0,6,0
1,90,0.98,85,1366455,31,1,-60,45167,107,-223,8093,-96,79,192,3361,-7469,7122,-1300,1300,0,6,0
1,90,1.051,86,1366527,31,1,-60,45650,115,-223,9058,-64,64,192,3364,-7547,7200,-800,800,0,6,0
1,90,1.132,87,1366599,31,1,-60,45916,119,-223,9559,-32,32,192,3367,-7588,7245,-900,900,0,6,0
1,90,1.202,88,1366671,31,1,-60,46124,119,-223,9559,-26,32,192,3370,-7622,7278,-900,900,0,6,0
1,90,1.268,89,1366743,31,1,-60,46328,122,-223,9885,-35,20,192,3373,-7655,7311,-600,600,0,6,0
1,90,1.341,90,1366808,31,1,-59,46433,122,-223,9885,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,1.387,91,1366863,31,1,-59,46433,124,-223,10098,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,1.442,92,1366919,31,1,-59,46433,124,-223,10098,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,1.503,93,1366975,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,1.555,94,1367031,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,1.611,95,1367087,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,1.666,96,1367143,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,1.761,97,1367199,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,1.779,98,1367255,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,1.835,99,1367311,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,1.892,100,1367367,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,1.948,101,1367423,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,2.003,102,1367479,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,2.061,103,1367535,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,2.118,104,1367591,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,2.171,105,1367647,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,2.227,106,1367703,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,2.291,107,1367759,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,2.335,108,1367811,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,2.39,109,1367867,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,2.448,110,1367923,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,2.503,111,1367979,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,2.561,112,1368035,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,2.615,113,1368091,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,2.671,114,1368147,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,2.732,115,1368203,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,2.783,116,1368259,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,2.84,117,1368315,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,2.894,118,1368371,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,2.992,119,1368427,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,3.007,120,1368483,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,3.063,121,1368539,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,3.119,122,1368595,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,3.175,123,1368651,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,3.231,124,1368707,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,3.287,125,1368763,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,3.351,126,1368819,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,3.395,127,1368871,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,3.45,0,1368927,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,3.509,1,1368983,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,3.563,2,1369039,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,3.618,3,1369095,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,3.675,4,1369151,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,3.731,5,1369207,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,3.786,6,1369263,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,3.843,7,1369319,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,3.899,8,1369375,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,3.96,9,1369431,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,4.011,10,1369487,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,4.068,11,1369543,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,4.125,12,1369599,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,4.179,13,1369655,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,4.245,14,1369711,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,4.291,15,1369767,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,4.347,16,1369823,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,4.411,17,1369879,31,1,-59,46433,124,-223,10090,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,4.455,18,1369931,31,1,-59,46433,124,-223,10090,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,4.515,19,1369987,31,1,-59,46433,124,-223,10090,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,4.567,20,1370043,31,1,-59,46433,124,-223,10090,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,4.623,21,1370099,31,1,-59,46433,124,-223,10090,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,4.678,22,1370155,31,1,-59,46433,124,-223,10090,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,4.736,23,1370211,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,4.817,24,1370267,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,4.847,25,1370323,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,4.903,26,1370379,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,4.959,27,1370435,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,5.015,28,1370491,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
1,90,5.071,29,1370547,31,1,-59,46433,124,-223,10091,0,0,192,3377,-7669,7331,0,0,0,6,0
2,-90,-0.022,95,1374227,31,1,-59,46433,124,-223,10090,0,0,192,3377,-7669,7331,0,0,0,6,0
2,-90,0.046,96,1374295,31,1,-59,46433,124,-223,10090,0,0,192,3378,-7669,7331,0,0,0,6,0
2,-90,0.137,97,1374367,31,1,-59,46405,124,-223,10090,18,-9,193,3381,-7663,7328,800,-800,0,6,0
2,-90,0.19,98,1374439,31,1,-59,46269,124,-223,10090,32,-32,194,3384,-7636,7311,1500,-1300,0,6,0
2,-90,0.262,99,1374511,31,1,-59,45994,124,-222,10052,64,-41,195,3387,-7586,7272,2200,-2000,0,6,0
2,-90,0.334,100,1374583,31,1,-58,45514,119,-221,9422,96,-82,195,3390,-7497,7206,2300,-2300,0,6,0
2,-90,0.47,101,1374656,31,1,-57,44851,119,-221,9422,122,-96,195,3393,-7383,7106,2300,-2300,0,6,0
2,-90,0.478,102,1374727,31,1,-57,44136,110,-221,8330,105,-105,195,3396,-7269,6989,2300,-2200,0,6,0
2,-90,0.551,103,1374799,31,1,-57,43362,102,-218,7125,114,-114,195,3399,-7141,6867,2200,-2200,0,6,0
2,-90,0.622,104,1374871,31,1,-57,42604,102,-218,7125,123,-123,195,3402,-7016,6747,2100,-2200,0,6,0
2,-90,0.694,105,1374943,31,1,-57,41895,94,-214,5965,120,-111,195,3405,-6900,6634,2100,-2100,0,6,0
2,-90,0.777,106,1375016,31,1,-57,41202,94,-214,5965,108,-114,195,3408,-6788,6522,2100,-2100,0,6,0
2,-90,0.838,107,1375087,31,1,-57,40499,88,-209,4831,120,-99,195,3411,-6672,6411,2000,-2000,0,6,0
2,-90,0.91,108,1375159,31,1,-57,39818,82,-203,3689,99,-105,195,3414,-6563,6300,2000,-2100,0,6,0
2,-90,0.984,109,1375231,31,1,-57,39125,82,-203,3689,105,-114,195,3417,-6450,6189,1600,-1700,0,6,0
2,-90,1.062,110,1375303,31,1,-57,38598,78,-197,2639,82,-64,195,3420,-6363,6106,1000,-1100,0,6,0
