turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
1,90,100,6,stop,86.28,-3.72,87.55,25,86.77,-3.23,-3.05,11.43,-0.22,9.2,3.6,137,131,1.15,87,1
2,-90,100,7,stop,-86.79,3.21,-84.43,28,-86.77,3.23,-0.21,9.19,-3.11,11.69,3.83,123,123,1.13,87,1
3,107,100,8,stop,102.6,-4.4,104.14,29,103.7,-3.3,-3.11,11.69,0.3,9.75,3.93,128,137,1.29,93,1
4,-107,100,9,stop,-101.92,5.08,-102.44,27,-103.36,3.64,0.31,9.75,-3.32,11.96,4.24,123,125,1.21,96,1
5,180,100,10,stop,174.81,-5.19,174.35,39,176.88,-3.12,-3.3,11.95,2.05,12.57,5.39,131,128,2.15,107,1
6,-180,100,11,stop,-176.28,3.72,-178.34,37,-177.99,2.01,2.06,12.57,-3.32,11.9,5.43,128,123,2.21,99,1
7,-90,100,12,stop,-86.0,4.0,-87.49,28,-86.09,3.91,-3.35,11.93,-0.62,14.79,3.95,123,114,1.08,89,1
8,90,100,13,stop,86.0,-4.0,86.74,28,86.4,-3.6,-0.66,14.79,-2.68,11.84,3.57,123,130,1.04,86,1
9,-107,100,14,stop,-104.11,2.89,-105.34,28,-103.33,3.67,-2.69,11.86,0.47,14.75,4.28,137,122,1.3,89,1
10,107,100,15,stop,105.72,-1.28,106.15,28,103.95,-3.05,0.45,14.76,-2.49,11.91,4.1,131,123,1.3,92,1
11,-180,100,16,stop,-141.4,38.6,-140.89,33,-138.25,41.75,-2.5,11.93,2.41,14.06,5.35,128,122,1.44,95,1
12,180,100,17,stop,177.31,-2.69,177.28,35,176.17,-3.83,2.4,14.06,-1.42,10.26,5.39,131,128,2.08,106,1
