turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
1,90,0,4,stop,87.73,-2.27,87.81,29,,,-1.41,10.26,2.31,10.05,3.73,,,0.0,0,1
2,-90,0,5,stop,-84.29,5.71,-84.12,24,,,2.31,10.05,-1.37,10.18,3.69,,,0.0,0,1
3,107,0,6,stop,105.64,-1.36,106.27,29,,,-1.37,10.18,2.92,10.99,4.36,,,0.0,0,1
4,-107,0,7,stop,-100.94,6.06,-102.93,30,,,2.92,10.99,-1.33,10.09,4.35,,,0.0,0,1
5,180,0,8,stop,175.22,-4.78,175.65,27,,,-1.33,10.08,2.24,13.97,5.28,,,0.0,0,1
6,-180,0,9,stop,-175.05,4.95,-174.33,27,,,2.24,13.96,-1.22,9.69,5.5,,,0.0,0,1
7,-90,0,10,stop,-86.91,3.09,-85.27,26,,,-1.23,9.69,-1.42,13.21,3.52,,,0.0,0,1
8,90,0,11,stop,85.11,-4.89,83.66,27,,,-1.41,13.21,-0.75,9.93,3.35,,,0.0,0,1
9,-107,0,12,stop,-102.27,4.73,-101.94,24,,,-0.75,9.93,-0.65,13.87,3.94,,,0.0,0,1
10,107,0,13,stop,101.62,-5.38,101.91,24,,,-0.65,13.87,-0.41,9.93,3.95,,,0.0,0,1
11,-180,0,14,stop,-175.68,4.32,-176.01,28,,,-0.41,9.93,2.72,14.17,5.27,,,0.0,0,1
12,180,0,15,stop,176.63,-3.37,176.7,28,,,2.72,14.16,-0.2,10.13,4.98,,,0.0,0,1
