turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
1,90,0,5,stop,87.2,-2.8,89.79,26,,,15.68,12.59,16.61,12.38,0.96,,,0.0,0,1
2,-90,0,6,stop,-89.38,0.62,-89.66,26,,,16.66,12.37,17.09,12.56,0.48,,,0.0,0,1
3,107,0,7,stop,107.41,0.41,106.09,30,,,17.09,12.56,17.11,12.19,0.37,,,0.0,0,1
4,-107,0,8,stop,-106.6,0.4,-108.42,32,,,17.1,12.19,17.22,12.52,0.35,,,0.0,0,1
5,180,0,9,stop,178.67,-1.33,178.78,30,,,17.21,12.55,17.69,12.19,0.6,,,0.0,0,1
6,-180,0,10,stop,-181.6,-1.6,-183.0,28,,,17.68,12.2,18.04,13.06,0.93,,,0.0,0,1
7,-90,0,11,stop,-89.95,0.05,-88.91,23,,,18.03,13.01,18.17,12.69,0.36,,,0.0,0,1
8,90,0,12,stop,89.19,-0.81,85.8,24,,,18.13,12.69,17.8,12.65,0.34,,,0.0,0,1
9,-107,0,13,stop,-105.88,1.12,-107.35,20,,,17.79,12.69,17.77,12.29,0.4,,,0.0,0,1
10,107,0,14,stop,106.21,-0.79,106.32,23,,,17.77,12.29,17.74,12.26,0.04,,,0.0,0,1
11,-180,0,15,stop,-179.66,0.34,-180.91,28,,,17.75,12.25,17.52,11.63,0.67,,,0.0,0,1
12,180,0,16,stop,178.79,-1.21,179.24,28,,,17.52,11.61,17.16,11.97,0.51,,,0.0,0,1
