turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
1,90,0,4,stop,87.98,-2.02,88.71,23,,,17.17,11.96,17.05,11.51,0.46,,,0.0,0,0
2,-90,0,5,stop,-86.69,3.31,-89.68,22,,,17.05,11.48,17.42,11.6,0.38,,,0.0,0,1
3,107,0,6,stop,106.69,-0.31,109.98,32,,,17.41,11.59,17.37,10.79,0.8,,,0.0,0,1
4,-107,0,7,stop,-106.86,0.14,-107.59,26,,,17.36,10.81,17.64,11.0,0.34,,,0.0,0,1
5,180,0,8,stop,178.56,-1.44,178.45,25,,,17.65,11.03,17.9,10.23,0.84,,,0.0,0,1
6,-180,0,9,stop,-179.07,0.93,-177.76,28,,,17.92,10.27,18.24,11.08,0.87,,,0.0,0,1
7,-90,0,10,stop,-89.4,0.6,-90.29,24,,,18.24,11.07,18.31,10.79,0.29,,,0.0,0,1
8,90,0,11,stop,88.8,-1.2,87.72,19,,,18.3,10.79,17.96,11.04,0.43,,,0.0,0,1
9,-107,0,12,stop,-104.64,2.36,-104.95,25,,,17.96,11.06,17.87,10.78,0.29,,,0.0,0,1
10,107,0,13,stop,103.65,-3.35,105.23,24,,,17.87,10.77,17.53,11.05,0.44,,,0.0,0,1
11,-180,0,14,stop,-180.21,-0.21,-180.59,26,,,17.53,11.04,17.3,10.37,0.7,,,0.0,0,1
12,180,0,15,stop,177.41,-2.59,177.42,27,,,17.31,10.44,16.97,10.95,0.61,,,0.0,0,1
