turn,commanded,t_rel,seq,now,flags,x,y,h,ox,oy,oh,vl,vr,i2cf,cyc,posl,posr,dutl,dutr,lexc,wrng,cycovr
1,90,0.022,34,387385,31,10,23,47735,0,0,0,0,0,25,212,-5613,7075,0,0,0,0,0
1,90,0.325,37,387581,31,9,24,48111,0,0,0,-16,56,28,219,-5638,7150,-1400,1200,0,0,0
1,90,0.399,39,387725,31,7,27,48758,0,0,0,-46,82,28,225,-5683,7277,-2100,2200,0,0,0
1,90,0.47,40,387797,31,6,28,49451,0,0,0,-76,128,28,228,-5750,7394,-2500,2500,0,0,0
1,90,0.539,41,387869,31,5,30,50399,0,0,0,-128,164,28,231,-5855,7541,-2700,2700,0,0,0
1,90,0.611,42,387941,31,3,30,51520,0,0,0,-154,174,28,234,-5983,7711,-2700,2700,0,0,0
1,90,0.686,43,388013,31,2,31,52743,0,0,0,-154,210,28,237,-6122,7897,-2700,2700,0,0,0
1,90,0.759,44,388085,31,0,31,53962,0,0,0,-154,190,28,240,-6266,8077,-2700,2600,0,0,0
1,90,0.827,45,388157,31,-1,31,55177,0,0,0,-164,190,28,243,-6411,8255,-2600,2400,0,0,0
1,90,0.985,46,388229,31,-2,31,56336,0,0,0,-158,172,28,246,-6558,8416,-1800,1500,0,0,0
1,90,1.087,48,388417,31,-2,31,57435,0,0,0,0,0,28,256,-6705,8561,0,0,0,0,0
1,90,1.158,49,388489,31,-2,31,57435,0,0,0,0,0,28,259,-6705,8561,0,0,0,0,0
1,90,1.23,50,388561,31,-2,31,57435,0,0,0,0,0,28,262,-6705,8561,0,0,0,0,0
1,90,1.302,51,388633,31,-2,31,57435,0,0,0,0,0,28,265,-6705,8561,0,0,0,0,0
1,90,1.376,52,388705,31,-2,31,57435,0,0,0,0,0,28,268,-6705,8561,0,0,0,0,0
1,90,1.447,53,388777,31,-2,31,57435,0,0,0,0,0,28,271,-6705,8561,0,0,0,0,0
1,90,1.521,54,388849,31,-2,31,57435,0,0,0,0,0,28,274,-6705,8561,0,0,0,0,0
1,90,1.592,55,388921,31,-2,31,57435,0,0,0,0,0,28,277,-6705,8561,0,0,0,0,0
1,90,1.66,56,388993,31,-2,31,57435,0,0,0,0,0,28,280,-6705,8561,0,0,0,0,0
1,90,1.731,57,389065,31,-2,31,57435,0,0,0,0,0,28,283,-6705,8561,0,0,0,0,0
1,90,1.877,58,389137,31,-2,31,57435,0,0,0,0,0,28,286,-6705,8561,0,0,0,0,0
1,90,1.948,60,389281,31,-2,31,57435,0,0,0,0,0,28,292,-6705,8561,0,0,0,0,0
1,90,2.02,61,389353,31,-2,31,57435,0,0,0,0,0,28,295,-6705,8561,0,0,0,0,0
1,90,2.092,62,389425,31,-2,31,57435,0,0,0,0,0,28,298,-6705,8561,0,0,0,0,0
1,90,2.164,63,389497,31,-2,31,57435,0,0,0,0,0,28,301,-6705,8561,0,0,0,0,0
1,90,2.237,64,389569,31,-2,31,57435,0,0,0,0,0,28,304,-6705,8561,0,0,0,0,0
1,90,2.309,65,389641,31,-2,31,57435,0,0,0,0,0,28,307,-6705,8561,0,0,0,0,0
1,90,2.379,66,389713,31,-2,31,57435,0,0,0,0,0,28,310,-6705,8561,0,0,0,0,0
1,90,2.451,67,389785,31,-2,31,57435,0,0,0,0,0,28,313,-6705,8561,0,0,0,0,0
1,90,2.524,68,389857,31,-2,31,57435,0,0,0,0,0,28,316,-6705,8561,0,0,0,0,0
1,90,2.597,69,389929,31,-2,31,57435,0,0,0,0,0,28,319,-6705,8561,0,0,0,0,0
1,90,2.668,70,390001,31,-2,31,57435,0,0,0,0,0,28,322,-6705,8561,0,0,0,0,0
1,90,2.742,71,390073,31,-2,31,57435,0,0,0,0,0,28,325,-6705,8561,0,0,0,0,0
1,90,2.818,72,390145,31,-2,31,57435,0,0,0,0,0,28,328,-6705,8561,0,0,0,0,0
1,90,2.883,73,390217,31,-2,31,57435,0,0,0,0,0,28,331,-6705,8561,0,0,0,0,0
1,90,2.956,74,390289,31,-2,31,57435,0,0,0,0,0,28,334,-6705,8561,0,0,0,0,0
