turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
1,90,0,4,stop,104.46,14.46,103.73,14,100.54,10.54,-1.2,20.15,-1.88,20.99,1.08,164,200,0.7,287,1
2,-90,0,5,stop,-98.81,-8.81,-98.85,14,-94.48,-4.48,-1.89,20.97,0.07,18.84,2.89,145,217,0.83,120,1
3,107,0,6,stop,119.46,12.46,121.5,20,115.93,8.93,0.06,18.82,-0.57,19.25,0.76,190,210,0.78,299,1
4,-107,0,7,stop,-115.51,-8.51,-116.16,21,-112.58,-5.58,-0.57,19.22,1.77,17.86,2.7,148,200,0.87,190,1
5,180,0,8,stop,188.58,8.58,-171.72,16,184.9,4.9,1.78,17.82,1.53,18.04,0.33,190,193,1.33,311,1
6,-180,0,9,stop,-190.74,-10.74,169.52,16,-186.33,-6.33,1.53,18.04,4.07,19.7,3.03,158,220,1.41,190,1
7,-90,0,10,stop,-92.5,-2.5,-92.12,15,-91.47,-1.47,4.06,19.7,2.54,18.68,1.83,144,200,0.64,129,1
8,90,0,11,stop,99.63,9.63,100.69,8,97.94,7.94,2.56,18.7,5.84,17.71,3.42,184,246,0.72,479,1
9,-107,0,12,stop,-115.07,-8.07,-114.4,13,-111.94,-4.94,5.84,17.71,3.99,16.02,2.51,148,226,0.84,385,1
10,107,0,13,stop,114.6,7.6,114.62,11,112.47,5.47,4.0,16.03,4.91,15.91,0.92,164,200,0.79,320,1
11,-180,0,14,stop,-178.52,1.48,-177.73,15,-172.9,7.1,4.93,15.9,2.48,14.82,2.68,148,226,1.28,274,1
12,180,0,15,stop,191.06,11.06,-168.48,9,186.18,6.18,2.56,14.76,3.02,14.94,0.49,164,205,1.25,433,1
13,90,0,16,stop,97.7,7.7,98.97,13,97.72,7.72,2.94,14.98,2.53,15.04,0.41,174,184,0.65,217,1
14,-90,0,17,stop,-76.51,13.49,-100.43,18,-97.34,-7.34,2.52,15.06,5.25,14.55,2.77,154,210,0.65,190,1
15,107,0,18,stop,117.98,10.98,118.41,16,113.71,6.71,21.96,29.13,22.32,28.52,0.71,181,184,0.79,229,1
16,-107,0,19,stop,-119.16,-12.16,-119.05,16,-113.41,-6.41,22.34,28.53,22.7,30.59,2.1,148,216,0.79,146,1
17,180,0,20,stop,73.14,-106.86,116.94,31,183.59,3.59,21.51,31.35,18.55,22.6,9.23,190,227,1.32,216,1
18,-180,0,21,stop,-183.87,-3.87,176.13,21,-185.66,-5.66,18.55,22.6,44.57,30.43,27.17,154,220,1.39,211,1
19,-90,0,22,stop,-96.27,-6.27,-98.54,14,-93.43,-3.43,44.57,30.42,42.9,24.79,5.87,138,204,0.72,242,1
20,90,0,23,stop,100.66,10.66,101.08,21,98.25,8.25,42.38,17.38,43.24,17.28,0.87,194,220,0.72,204,1
21,-107,0,24,stop,-115.02,-8.02,-116.36,12,-111.64,-4.64,43.22,17.29,41.43,15.46,2.56,148,217,0.84,144,1
22,107,0,25,stop,116.61,9.61,116.51,17,113.93,6.93,41.5,15.49,41.75,15.69,0.31,184,194,0.8,213,1
23,-180,0,26,stop,-89.87,90.13,-90.36,13,-86.96,93.04,41.72,15.7,40.17,14.24,2.13,154,220,0.68,347,1
24,180,0,27,stop,187.98,7.98,-172.65,16,185.02,5.02,40.17,14.23,39.88,14.28,0.29,184,220,1.37,201,1
