turn,commanded,t_rel,seq,now,flags,x,y,h,ox,oy,oh,vl,vr,i2cf,cyc,posl,posr,dutl,dutr,lexc,wrng,cycovr
1,90,-0.047,14,1629321,31,108,78,61115,0,0,0,0,0,229,2645,-9522,6722,0,0,0,0,0
1,90,0.01,15,1629377,31,108,78,61115,0,0,0,0,0,229,2645,-9522,6722,0,0,0,0,0
1,90,0.063,16,1629429,31,108,78,61115,0,0,0,0,0,229,2646,-9522,6722,-800,800,0,0,0
1,90,0.134,17,1629501,31,108,77,61220,0,0,0,0,39,232,2649,-9522,6750,-1200,1200,0,0,0
1,90,0.207,18,1629573,31,107,76,61397,0,0,0,-36,56,233,2652,-9536,6783,-1600,1400,0,0,0
1,90,0.278,19,1629645,31,107,75,61679,0,0,0,-20,46,233,2655,-9561,6833,-1700,1700,0,0,0
1,90,0.35,20,1629717,31,107,74,62139,0,0,0,-56,92,233,2658,-9605,6911,-2100,2200,0,0,0
1,90,0.409,21,1629767,31,107,73,62586,0,0,0,-82,118,233,2660,-9652,6983,-2400,2500,0,0,0
1,90,0.47,22,1629837,31,107,71,63456,0,0,0,-118,164,233,2663,-9747,7119,-2800,2800,0,0,0
1,90,0.542,23,1629909,31,107,70,64520,0,0,0,-148,171,233,2666,-9872,7277,-2800,2800,0,0,0
1,90,0.767,26,1630125,31,108,68,68136,0,0,0,-164,190,233,2675,-10322,7788,-2600,2700,0,0,0
1,90,0.998,28,1630366,31,109,67,70981,0,0,0,0,0,233,2688,-10694,8172,0,0,0,0,0
1,90,1.048,29,1630417,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,1.105,30,1630473,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,1.161,31,1630529,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,1.217,32,1630585,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,1.272,33,1630641,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,1.329,34,1630697,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,1.385,35,1630753,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,1.441,36,1630809,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,1.497,37,1630865,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,1.609,39,1630977,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,1.666,40,1631033,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,1.722,41,1631089,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,1.776,42,1631145,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,1.834,43,1631201,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,1.954,45,1631313,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,1.997,46,1631365,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,2.053,47,1631421,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,2.109,48,1631477,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,2.164,49,1631533,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,2.276,51,1631645,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,2.332,52,1631701,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,2.445,54,1631813,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,2.501,55,1631869,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,2.557,56,1631925,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,2.613,57,1631981,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,2.67,58,1632037,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,2.725,59,1632093,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,2.782,60,1632149,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,2.837,61,1632205,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,2.893,62,1632261,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,2.95,63,1632317,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,3.014,64,1632373,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,3.113,66,1632481,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,3.169,67,1632537,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,3.225,68,1632593,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,3.28,69,1632649,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,3.336,70,1632705,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,3.392,71,1632761,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,3.505,73,1632873,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,3.561,74,1632929,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,3.616,75,1632985,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,3.673,76,1633041,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,3.729,77,1633097,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,3.897,80,1633265,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
1,90,3.954,81,1633321,31,109,67,70981,0,0,0,0,0,233,2689,-10694,8172,0,0,0,0,0
