turn,commanded,t_rel,seq,now,flags,x,y,h,ox,oy,oh,vl,vr,i2cf,cyc,posl,posr,dutl,dutr,lexc,wrng,cycovr
1,90,0.001,59,378325,31,4,-9,18469,0,0,0,0,0,9,152,-2575,2344,0,0,0,1,0
1,90,0.067,60,378394,31,4,-9,18469,0,0,0,0,0,9,153,-2575,2344,-800,800,0,1,0
1,90,0.168,61,378466,31,4,-9,18635,0,0,0,-56,16,10,156,-2608,2355,-1100,1200,0,1,0
1,90,0.211,62,378538,31,5,-9,18942,0,0,0,-66,46,10,159,-2658,2386,-1200,1500,0,1,0
1,90,0.284,63,378610,31,6,-9,19363,0,0,0,-62,66,10,162,-2719,2436,-1400,1700,0,1,0
1,90,0.356,64,378682,31,6,-9,19931,0,0,0,-102,92,10,165,-2800,2505,-1900,2000,0,1,0
1,90,0.652,68,378970,31,8,-7,24221,0,0,0,-193,164,10,177,-3400,3038,-2300,2500,0,1,0
1,90,0.715,69,379042,31,8,-7,25422,0,0,0,-149,166,10,180,-3558,3197,-2100,2600,0,1,0
1,90,0.786,70,379114,31,8,-8,26554,0,0,0,-144,170,10,183,-3702,3352,-1000,1700,0,1,0
1,90,1.102,74,379430,31,8,-9,27387,0,0,0,0,0,10,198,-3797,3477,0,0,0,1,0
1,90,1.174,75,379502,31,8,-9,27387,0,0,0,0,0,10,201,-3797,3477,0,0,0,1,0
1,90,1.246,76,379574,31,8,-9,27387,0,0,0,0,0,10,204,-3797,3477,0,0,0,1,0
1,90,1.318,77,379646,31,8,-9,27387,0,0,0,0,0,10,207,-3797,3477,0,0,0,1,0
1,90,1.39,78,379718,31,8,-9,27387,0,0,0,0,0,10,210,-3797,3477,0,0,0,1,0
1,90,1.466,79,379790,31,8,-9,27387,0,0,0,0,0,10,213,-3797,3477,0,0,0,1,0
1,90,1.537,80,379862,31,8,-9,27387,0,0,0,0,0,10,216,-3797,3477,0,0,0,1,0
1,90,1.606,81,379934,31,8,-9,27387,0,0,0,0,0,10,219,-3797,3477,0,0,0,1,0
1,90,1.75,83,380078,31,8,-9,27387,0,0,0,0,0,10,225,-3797,3477,0,0,0,1,0
1,90,1.821,84,380150,31,8,-9,27387,0,0,0,0,0,10,228,-3797,3477,0,0,0,1,0
1,90,1.899,85,380222,31,8,-9,27387,0,0,0,0,0,10,231,-3797,3477,0,0,0,1,0
1,90,1.966,86,380294,31,8,-9,27387,0,0,0,0,0,10,234,-3797,3477,0,0,0,1,0
1,90,2.046,87,380366,31,8,-9,27387,0,0,0,0,0,10,237,-3797,3477,0,0,0,1,0
1,90,2.11,88,380438,31,8,-9,27387,0,0,0,0,0,10,240,-3797,3477,0,0,0,1,0
1,90,2.182,89,380510,31,8,-9,27387,0,0,0,0,0,10,243,-3797,3477,0,0,0,1,0
1,90,2.253,90,380582,31,8,-9,27387,0,0,0,0,0,10,246,-3797,3477,0,0,0,1,0
1,90,2.325,91,380654,31,8,-9,27387,0,0,0,0,0,10,249,-3797,3477,0,0,0,1,0
1,90,2.397,92,380726,31,8,-9,27387,0,0,0,0,0,10,252,-3797,3477,0,0,0,1,0
1,90,2.469,93,380798,31,8,-9,27387,0,0,0,0,0,10,255,-3797,3477,0,0,0,1,0
1,90,2.542,94,380870,31,8,-9,27387,0,0,0,0,0,10,258,-3797,3477,0,0,0,1,0
1,90,2.614,95,380942,31,8,-9,27387,0,0,0,0,0,10,261,-3797,3477,0,0,0,1,0
1,90,2.694,96,381014,31,8,-9,27387,0,0,0,0,0,10,264,-3797,3477,0,0,0,1,0
