turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
1,90,0,4,stop,89.83,-0.17,89.34,19,89.18,-0.82,-46.57,27.94,-46.44,27.46,0.5,193,170,0.62,224,1
2,-90,0,5,stop,-88.68,1.32,-87.9,16,-87.93,2.07,-46.43,27.45,-46.04,27.46,0.39,180,200,0.65,381,1
3,107,0,6,stop,3.32,-103.68,3.37,17,2.95,-104.05,-46.03,27.46,-46.01,27.32,0.14,20,20,0.0,401,1
4,-107,0,7,stop,-105.46,1.54,-104.8,14,-103.95,3.05,-46.0,27.31,-46.18,27.5,0.26,174,174,0.79,150,1
5,180,0,8,stop,179.95,-0.05,179.69,19,177.68,-2.32,-46.17,27.49,-46.67,27.11,0.63,200,5805,1.31,246,1
6,-180,0,9,stop,-179.34,0.66,-180.84,30,-177.34,2.66,-46.67,27.11,-46.77,27.38,0.29,164,193,1.25,147,1
7,-90,0,10,stop,-88.31,1.69,-87.39,20,-87.29,2.71,-46.77,27.38,-46.9,27.54,0.21,180,183,0.72,151,1
8,90,0,11,stop,94.83,4.83,94.95,16,93.8,3.8,-46.89,27.54,-46.9,27.87,0.34,200,193,0.65,167,1
9,-107,0,12,stop,-106.83,0.17,-107.24,14,-103.15,3.85,-46.91,27.88,-47.09,28.01,0.21,164,210,0.77,145,1
10,107,0,13,stop,108.13,1.13,109.07,29,104.71,-2.29,-47.09,28.0,-46.87,28.39,0.45,183,193,0.78,193,1
11,-180,0,14,stop,-180.3,-0.3,-176.6,17,-177.46,2.54,-46.86,28.38,-47.17,28.19,0.36,180,2739,1.23,156,1
