turn,commanded,t_rel,seq,now,flags,x,y,h,ox,oy,oh,vl,vr,i2cf,cyc,posl,posr,dutl,dutr,lexc,wrng,cycovr
1,90,0.013,68,154717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,90,0.062,69,154781,31,0,0,-8,0,0,0,0,0,0,1,2,0,-800,800,0,0,0
1,90,0.121,70,154831,31,0,0,38,0,0,0,-16,14,1,3,-5,5,-900,900,0,0,0
1,90,0.184,71,154902,31,0,0,167,0,0,0,-20,11,2,6,-22,22,-1200,1200,0,0,0
1,90,0.327,73,155045,31,-3,0,731,0,0,0,-89,56,5,12,-138,55,-2100,2100,0,0,0
1,90,0.401,74,155117,31,-5,-1,1492,0,0,0,-137,92,5,15,-261,133,-2400,2400,0,0,0
1,90,0.483,75,155191,31,-6,-1,2492,0,0,0,-174,138,5,18,-411,247,-2800,2700,0,0,0
1,90,0.546,76,155261,31,-7,-2,3670,0,0,0,-190,157,5,21,-583,386,-2700,2800,0,0,0
1,90,0.616,77,155333,31,-8,-3,4919,0,0,0,-200,148,5,24,-766,533,-2600,2700,0,0,0
1,90,0.694,78,155405,31,-9,-3,6158,0,0,0,-180,164,5,27,-938,688,-2400,2600,0,0,0
1,90,0.96,81,155678,31,-11,-2,9297,0,0,0,0,0,5,41,-1344,1111,0,0,0,0,0
1,90,1.01,82,155730,31,-11,-2,9297,0,0,0,0,0,5,43,-1344,1111,0,0,0,0,0
1,90,1.083,83,155802,31,-11,-2,9297,0,0,0,0,0,5,46,-1344,1111,0,0,0,0,0
1,90,1.154,84,155873,31,-11,-2,9297,0,0,0,0,0,5,49,-1344,1111,0,0,0,0,0
1,90,1.226,85,155945,31,-11,-2,9297,0,0,0,0,0,5,52,-1344,1111,0,0,0,0,0
1,90,1.3,86,156017,31,-11,-2,9297,0,0,0,0,0,5,55,-1344,1111,0,0,0,0,0
1,90,1.379,87,156089,31,-11,-2,9297,0,0,0,0,0,5,58,-1344,1111,0,0,0,0,0
1,90,1.444,88,156161,31,-11,-2,9297,0,0,0,0,0,5,61,-1344,1111,0,0,0,0,0
1,90,1.514,89,156233,31,-11,-2,9297,0,0,0,0,0,5,64,-1344,1111,0,0,0,0,0
1,90,1.586,90,156306,31,-11,-2,9297,0,0,0,0,0,5,67,-1344,1111,0,0,0,0,0
1,90,1.659,91,156377,31,-11,-2,9297,0,0,0,0,0,5,70,-1344,1111,0,0,0,0,0
1,90,1.73,92,156450,31,-11,-2,9297,0,0,0,0,0,5,73,-1344,1111,0,0,0,0,0
1,90,1.803,93,156522,31,-11,-2,9297,0,0,0,0,0,5,76,-1344,1111,0,0,0,0,0
1,90,1.875,94,156593,31,-11,-2,9297,0,0,0,0,0,5,79,-1344,1111,0,0,0,0,0
1,90,1.946,95,156665,31,-11,-2,9297,0,0,0,0,0,5,82,-1344,1111,0,0,0,0,0
1,90,2.019,96,156737,31,-11,-2,9297,0,0,0,0,0,5,85,-1344,1111,0,0,0,0,0
1,90,2.162,98,156881,31,-11,-2,9297,0,0,0,0,0,5,91,-1344,1111,0,0,0,0,0
1,90,2.235,99,156953,31,-11,-2,9297,0,0,0,0,0,5,94,-1344,1111,0,0,0,0,0
1,90,2.306,100,157025,31,-11,-2,9297,0,0,0,0,0,5,97,-1344,1111,0,0,0,0,0
1,90,2.362,101,157081,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,2.418,102,157138,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,2.489,103,157193,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,2.531,104,157249,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,2.696,106,157362,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,2.696,107,157413,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,2.762,108,157469,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,2.809,109,157525,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,2.866,110,157581,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,2.919,111,157637,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,2.976,112,157694,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,3.034,113,157749,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,3.146,115,157862,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,3.199,116,157918,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,3.256,117,157973,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,3.37,119,158085,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,3.454,120,158141,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,3.48,121,158198,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,3.558,122,158253,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,3.591,123,158309,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,3.647,124,158365,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,3.925,1,158641,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,3.995,2,158698,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,4.046,3,158753,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,4.091,4,158809,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,4.149,5,158865,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,4.204,6,158921,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,4.26,7,158978,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,4.398,9,159089,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,4.595,13,159313,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,4.775,16,159481,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,4.814,17,159533,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,4.872,18,159589,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,5.104,22,159814,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,5.151,23,159870,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,5.208,24,159925,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,5.319,26,160037,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,5.431,28,160149,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,5.487,29,160206,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,5.598,31,160318,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,5.655,32,160373,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,5.831,35,160541,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,5.936,37,160650,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,6.042,39,160761,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,6.099,40,160817,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,6.154,41,160873,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,6.322,44,161042,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,6.391,45,161098,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,6.437,46,161154,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,6.545,48,161265,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,6.662,50,161377,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,6.716,51,161433,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,6.936,55,161653,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,6.99,56,161709,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,7.047,57,161766,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,7.103,58,161821,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,7.158,59,161878,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,7.214,60,161934,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,7.27,61,161989,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,7.325,62,162045,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,7.383,63,162102,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,7.552,66,162270,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,7.607,67,162326,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,7.662,68,162382,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,7.774,70,162494,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,7.83,71,162549,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,7.885,72,162605,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,7.951,73,162661,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,7.994,74,162714,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,8.051,75,162770,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,8.161,77,162881,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,8.218,78,162937,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,8.274,79,162993,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,8.387,81,163105,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,8.443,82,163162,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
1,90,8.501,83,163218,31,-11,-2,9297,0,0,0,0,0,5,98,-1344,1111,0,0,0,0,0
