turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
1,90,0,4,stop,94.46,4.46,94.18,16,92.97,2.97,-0.66,27.82,0.16,28.58,1.12,200,164,0.57,314,
2,-90,0,5,stop,-88.26,1.74,-87.56,22,-87.71,2.29,0.16,28.58,0.11,28.61,0.07,180,171,0.55,226,1
3,107,0,6,stop,106.05,-0.95,105.88,22,106.19,-0.81,0.11,28.61,0.93,29.42,1.15,190,164,0.65,165,1
4,-107,0,7,stop,-106.73,0.27,-107.29,15,-106.0,1.0,0.93,29.42,0.9,29.43,0.03,174,3168,0.79,189,1
5,180,0,8,stop,198.46,18.46,199.44,13,195.22,15.22,0.91,29.43,2.14,30.43,1.58,190,6393,1.15,277,
6,-180,0,9,stop,-180.14,-0.14,-180.59,20,-176.81,3.19,2.14,30.42,2.13,30.3,0.12,180,194,1.29,226,1
7,-90,0,10,stop,-96.97,-6.97,-96.59,16,-94.3,-4.3,2.13,30.3,2.28,29.92,0.41,180,3440,0.55,183,1
8,90,0,11,stop,90.23,0.23,89.4,28,88.12,-1.88,2.29,29.91,3.02,29.66,0.77,190,180,0.65,249,1
9,-107,0,12,stop,-107.53,-0.53,-108.91,22,-104.63,2.37,3.01,29.67,3.01,29.3,0.37,200,203,0.58,199,1
10,107,0,13,stop,100.1,-6.9,98.6,17,96.23,-10.77,3.01,29.3,3.4,29.15,0.42,200,164,0.65,165,1
11,-180,0,14,stop,-183.86,-3.86,-183.09,17,-178.29,1.71,3.4,29.14,3.4,28.9,0.25,171,200,1.24,141,1
12,180,0,15,stop,180.91,0.91,181.07,13,177.3,-2.7,3.39,28.91,3.08,28.81,0.32,200,164,1.13,210,1
13,90,0,16,stop,92.48,2.48,89.63,22,92.56,2.56,3.09,28.82,3.44,29.1,0.45,200,1792,0.58,214,1
14,-90,0,17,stop,-88.82,1.18,-89.56,11,-88.96,1.04,3.39,29.09,3.64,29.11,0.25,184,180,0.59,148,1
16,-107,0,19,stop,-104.85,2.15,-104.83,23,-104.93,2.07,4.2,29.67,4.37,29.64,0.18,183,2457,0.79,161,1
17,180,0,20,stop,176.98,-3.02,176.62,16,176.47,-3.53,4.38,29.64,5.2,30.25,1.02,193,616,1.23,156,1
18,-180,0,21,stop,-176.72,3.28,-176.26,17,-177.12,2.88,5.2,30.25,5.39,30.35,0.22,174,5567,1.23,140,1
19,-90,0,22,stop,-41.79,48.21,-41.21,17,-41.24,48.76,5.39,30.34,5.57,30.27,0.2,134,144,0.29,101,
20,90,0,23,stop,88.39,-1.61,89.44,15,87.9,-2.1,5.58,30.27,5.98,30.46,0.44,183,174,0.64,159,1
21,-107,0,24,stop,-107.1,-0.1,-106.92,29,-103.99,3.01,5.97,30.46,6.18,30.23,0.31,180,308,0.72,160,1
22,107,0,25,stop,109.1,2.1,107.82,20,105.16,-1.84,6.18,30.24,6.64,30.2,0.46,180,2827,0.79,190,1
23,-180,0,26,stop,-183.53,-3.53,-181.94,26,-177.0,3.0,6.65,30.21,6.87,29.89,0.39,174,184,1.22,250,1
24,180,0,27,stop,182.22,2.22,182.33,18,177.08,-2.92,6.87,29.88,6.99,29.59,0.32,190,4576,1.3,208,1
