turn,commanded,t_rel,seq,now,flags,x,y,h,ox,oy,oh,vl,vr,i2cf,cyc,posl,posr,dutl,dutr,lexc,wrng,cycovr
1,90,-0.001,70,1023185,31,-76,8,6222,0,0,0,0,0,27,2666,-1638,5,0,0,0,1,0
1,90,0.067,71,1023253,31,-76,8,6222,0,0,0,0,0,27,2667,-1638,5,-800,800,0,1,0
1,90,0.139,72,1023325,31,-76,7,6368,0,0,0,-36,16,27,2670,-1666,16,-1100,1200,0,1,0
1,90,0.213,73,1023397,31,-77,6,6724,0,0,0,-72,39,27,2673,-1727,50,-1200,1400,0,1,0
1,90,0.284,74,1023469,31,-77,6,7182,0,0,0,-72,56,27,2676,-1794,105,-1300,1600,0,1,0
1,90,0.364,75,1023541,31,-77,6,7785,0,0,0,-89,92,27,2679,-1877,183,-1700,2100,0,1,0
1,90,0.414,76,1023591,31,-77,5,8310,0,0,0,-122,110,27,2681,-1950,250,-2100,2300,0,1,0
1,90,0.478,77,1023662,31,-77,5,9285,0,0,0,-157,154,27,2684,-2083,377,-2600,2600,0,1,0
1,90,0.62,79,1023805,31,-77,4,11669,0,0,0,-190,164,27,2690,-2419,677,-2200,2500,0,1,0
1,90,0.693,80,1023877,31,-65,-27,9704,0,0,0,-154,-2565,27,2693,-2572,0,-2100,2400,0,1,0
1,90,0.992,83,1024178,31,-82,2,16160,0,0,0,0,0,27,2708,-2994,1300,0,0,0,1,0
1,90,1.135,85,1024322,31,-82,2,16160,0,0,0,0,0,27,2714,-2994,1300,0,0,0,1,0
1,90,1.208,86,1024394,31,-82,2,16160,0,0,0,0,0,27,2717,-2994,1300,0,0,0,1,0
1,90,1.423,89,1024610,31,-82,2,16160,0,0,0,0,0,27,2726,-2994,1300,0,0,0,1,0
1,90,1.497,90,1024682,31,-82,2,16160,0,0,0,0,0,27,2729,-2994,1300,0,0,0,1,0
1,90,1.64,92,1024826,31,-82,2,16160,0,0,0,0,0,27,2735,-2994,1300,0,0,0,1,0
1,90,1.711,93,1024898,31,-82,2,16160,0,0,0,0,0,27,2738,-2994,1300,0,0,0,1,0
1,90,1.785,94,1024970,31,-82,2,16160,0,0,0,0,0,27,2741,-2994,1300,0,0,0,1,0
1,90,1.854,95,1025042,31,-82,2,16160,0,0,0,0,0,27,2744,-2994,1300,0,0,0,1,0
1,90,2.072,98,1025258,31,-82,2,16160,0,0,0,0,0,27,2753,-2994,1300,0,0,0,1,0
1,90,2.143,99,1025330,31,-82,2,16160,0,0,0,0,0,27,2756,-2994,1300,0,0,0,1,0
1,90,2.215,100,1025402,31,-82,2,16160,0,0,0,0,0,27,2759,-2994,1300,0,0,0,1,0
1,90,2.278,101,1025451,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,2.316,102,1025502,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,2.428,104,1025614,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,2.483,105,1025670,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,2.653,108,1025837,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,2.706,109,1025893,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,2.763,110,1025950,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,2.82,111,1026006,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,2.984,114,1026169,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,3.04,115,1026225,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,3.096,116,1026281,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,3.154,117,1026338,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,3.265,119,1026450,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,3.32,120,1026506,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,3.375,121,1026561,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,3.432,122,1026617,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,3.488,123,1026673,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,3.544,124,1026729,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,3.599,125,1026786,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,3.655,126,1026841,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,3.767,0,1026954,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,3.823,1,1027009,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,3.88,2,1027065,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,3.935,3,1027121,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,4.0,4,1027177,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,4.043,5,1027229,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,4.098,6,1027286,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,4.154,7,1027342,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,4.212,8,1027397,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,4.268,9,1027453,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,4.381,11,1027566,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,4.549,14,1027734,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,4.603,15,1027790,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,4.662,16,1027845,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,4.715,17,1027902,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,4.77,18,1027958,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,4.828,19,1028014,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,4.883,20,1028069,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,4.94,21,1028125,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,4.996,22,1028182,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,5.215,26,1028402,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,5.271,27,1028457,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,5.327,28,1028513,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,5.439,30,1028626,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,5.496,31,1028681,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,5.608,33,1028793,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,5.72,35,1028905,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,5.776,36,1028961,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,5.887,38,1029074,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,6.119,42,1029298,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,6.218,44,1029405,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,6.387,47,1029573,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,6.444,48,1029630,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,6.499,49,1029685,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,6.556,50,1029741,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,6.611,51,1029797,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,6.723,53,1029910,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,6.834,55,1030021,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,7.059,59,1030245,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,7.115,60,1030302,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,7.179,61,1030358,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,7.223,62,1030409,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,7.279,63,1030465,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,7.335,64,1030521,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,7.448,66,1030634,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,7.502,67,1030690,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,7.616,69,1030802,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,7.673,70,1030857,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,7.731,71,1030914,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,7.84,73,1031025,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,7.895,74,1031081,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,7.951,75,1031138,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,8.063,77,1031249,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,8.119,78,1031306,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,8.175,79,1031362,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,8.232,80,1031417,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,8.283,81,1031470,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,8.34,82,1031526,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,8.396,83,1031582,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,8.45,84,1031638,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,8.507,85,1031693,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,8.675,88,1031861,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,8.73,89,1031918,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,8.898,92,1032085,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,9.011,94,1032197,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,9.179,97,1032366,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,9.293,99,1032477,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,9.345,100,1032529,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
1,90,9.4,101,1032585,31,-82,2,16160,0,0,0,0,0,27,2761,-2994,1300,0,0,0,1,0
