turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
1,90,0,6,stop,103.15,13.15,104.01,19,99.38,9.38,6.99,29.58,6.96,30.05,0.48,190,164,0.55,132,1
2,-90,0,7,stop,-94.89,-4.89,-94.3,26,-91.96,-1.96,6.96,30.05,7.1,30.02,0.14,180,183,0.58,215,1
3,107,0,8,stop,111.72,4.72,111.88,15,109.76,2.76,7.09,30.03,7.07,30.5,0.48,183,180,0.79,166,1
4,-107,0,9,stop,-110.56,-3.56,-111.19,18,-109.16,-2.16,7.07,30.5,7.25,30.49,0.18,184,180,0.79,273,1
5,180,0,10,stop,187.23,7.23,187.14,12,182.11,2.11,7.26,30.5,7.22,31.03,0.53,193,446,1.38,221,1
6,-180,0,11,stop,-187.46,-7.46,-188.14,12,-183.05,-3.05,7.23,31.02,7.49,30.87,0.3,193,200,1.36,217,1
7,-90,0,12,stop,-93.22,-3.22,-93.13,21,-92.55,-2.55,7.49,30.87,7.86,30.75,0.39,183,183,0.68,254,1
9,-107,0,14,stop,-119.91,-12.91,-120.45,15,-115.99,-8.99,8.33,30.93,8.78,30.64,0.54,164,184,0.77,166,1
10,107,0,15,stop,113.07,6.07,113.43,15,109.24,2.24,8.79,30.65,9.03,30.72,0.26,193,180,0.79,172,1
11,-180,0,16,stop,-189.4,-9.4,-187.74,27,-181.92,-1.92,9.04,30.72,9.29,30.44,0.38,190,190,1.34,284,1
12,180,0,17,stop,191.29,11.29,193.15,16,183.05,3.05,9.31,30.43,9.28,30.11,0.33,170,164,1.36,167,1
