turn,commanded,t_rel,seq,now,flags,x,y,h,ox,oy,oh,vl,vr,i2cf,cyc,posl,posr,dutl,dutr,lexc,wrng,cycovr
1,90,-0.026,62,2071991,31,-1,-5,36921,0,0,0,0,0,2,167,-5944,5983,0,0,0,0,0
1,90,0.03,63,2072047,31,-1,-5,36921,0,0,0,0,0,2,167,-5944,5983,0,0,0,0,0
1,90,0.091,64,2072107,31,-1,-5,36948,0,0,0,-15,8,2,169,-5950,5986,-1000,1000,0,0,0
1,90,0.163,65,2072179,31,-1,-5,37143,0,0,0,-15,32,2,172,-5977,6022,-1200,1200,0,0,0
1,90,0.235,66,2072251,31,0,-5,37376,0,0,0,-32,47,2,175,-6011,6063,-1500,1400,0,0,0
1,90,0.307,67,2072323,31,0,-5,37738,0,0,0,-55,64,2,178,-6069,6122,-2000,1900,0,0,0
1,90,0.383,68,2072395,31,0,-5,38320,0,0,0,-105,114,2,181,-6163,6216,-2400,2400,0,0,0
1,90,0.45,69,2072467,31,0,-5,39087,0,0,0,-125,133,2,184,-6283,6344,-2800,2800,0,0,0
1,90,0.524,70,2072539,31,0,-5,40044,0,0,0,-172,163,2,187,-6436,6500,-2900,2900,0,0,0
1,90,0.595,71,2072611,31,0,-5,41106,0,0,0,-169,169,2,190,-6602,6677,-2900,2900,0,0,0
1,90,0.667,72,2072683,31,0,-4,42217,0,0,0,-161,178,2,193,-6777,6861,-2800,2800,0,0,0
1,90,0.738,73,2072755,31,0,-5,43266,0,0,0,-163,152,2,196,-6950,7027,-2800,2800,0,0,0
1,90,0.81,74,2072827,31,0,-4,44322,0,0,0,-161,178,2,199,-7116,7202,-2800,2800,0,0,0
1,90,0.882,75,2072899,31,0,-4,45365,0,0,0,-163,163,2,202,-7283,7372,-2000,2000,0,0,0
1,90,1.002,76,2073020,31,0,-4,46309,0,0,0,0,0,2,209,-7433,7527,0,0,0,0,0
1,90,1.054,77,2073071,31,0,-4,46309,0,0,0,0,0,2,211,-7433,7527,0,0,0,0,0
1,90,1.125,78,2073143,31,0,-4,46309,0,0,0,0,0,2,214,-7433,7527,0,0,0,0,0
1,90,1.27,80,2073287,31,0,-4,46309,0,0,0,0,0,2,220,-7433,7527,0,0,0,0,0
1,90,1.342,81,2073359,31,0,-4,46309,0,0,0,0,0,2,223,-7433,7527,0,0,0,0,0
1,90,1.414,82,2073431,31,0,-4,46309,0,0,0,0,0,2,226,-7433,7527,0,0,0,0,0
1,90,1.485,83,2073503,31,0,-4,46309,0,0,0,0,0,2,229,-7433,7527,0,0,0,0,0
1,90,1.631,85,2073647,31,0,-4,46309,0,0,0,0,0,2,235,-7433,7527,0,0,0,0,0
1,90,1.701,86,2073719,31,0,-4,46309,0,0,0,0,0,2,238,-7433,7527,0,0,0,0,0
1,90,1.782,87,2073791,31,0,-4,46309,0,0,0,0,0,2,241,-7433,7527,0,0,0,0,0
1,90,1.845,88,2073863,31,0,-4,46309,0,0,0,0,0,2,244,-7433,7527,0,0,0,0,0
1,90,1.917,89,2073935,31,0,-4,46309,0,0,0,0,0,2,247,-7433,7527,0,0,0,0,0
1,90,1.99,90,2074007,31,0,-4,46309,0,0,0,0,0,2,250,-7433,7527,0,0,0,0,0
1,90,2.062,91,2074079,31,0,-4,46309,0,0,0,0,0,2,253,-7433,7527,0,0,0,0,0
1,90,2.133,92,2074151,31,0,-4,46309,0,0,0,0,0,3,256,-7433,7527,0,0,0,0,0
1,90,2.207,93,2074223,31,0,-4,46309,0,0,0,0,0,3,259,-7433,7527,0,0,0,0,0
1,90,2.278,94,2074295,31,0,-4,46309,0,0,0,0,0,3,262,-7433,7527,0,0,0,0,0
1,90,2.349,95,2074367,31,0,-4,46309,0,0,0,0,0,3,265,-7433,7527,0,0,0,0,0
1,90,2.421,96,2074439,31,0,-4,46309,0,0,0,0,0,3,268,-7433,7527,0,0,0,0,0
1,90,2.497,97,2074511,31,0,-4,46309,0,0,0,0,0,3,271,-7433,7527,0,0,0,0,0
1,90,2.711,100,2074727,31,0,-4,46309,0,0,0,0,0,3,280,-7433,7527,0,0,0,0,0
1,90,2.857,102,2074871,31,0,-4,46309,0,0,0,0,0,3,286,-7433,7527,0,0,0,0,0
1,90,2.928,103,2074943,31,0,-4,46309,0,0,0,0,0,3,289,-7433,7527,0,0,0,0,0
1,90,2.999,104,2075015,31,0,-4,46309,0,0,0,0,0,3,292,-7433,7527,0,0,0,0,0
1,90,3.074,105,2075088,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,3.135,106,2075143,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,3.178,107,2075195,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,3.233,108,2075251,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,3.291,109,2075307,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,3.345,110,2075363,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,3.402,111,2075419,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,3.457,112,2075475,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,3.514,113,2075531,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,3.571,114,2075587,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,3.683,116,2075699,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,3.793,118,2075811,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,3.85,119,2075867,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,3.906,120,2075923,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,3.961,121,2075979,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,4.018,122,2076035,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,4.073,123,2076091,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,4.129,124,2076147,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,4.193,125,2076203,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,4.293,127,2076311,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,4.35,0,2076367,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,4.406,1,2076423,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,4.461,2,2076479,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,4.517,3,2076535,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,4.573,4,2076591,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,4.685,6,2076703,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,4.742,7,2076759,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,4.797,8,2076815,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,4.855,9,2076871,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,4.966,11,2076983,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,5.021,12,2077039,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,5.077,13,2077095,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,5.133,14,2077151,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,5.189,15,2077207,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,5.253,16,2077263,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,5.299,17,2077315,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,5.354,18,2077371,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,5.409,19,2077427,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,5.465,20,2077483,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,5.521,21,2077539,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,5.577,22,2077595,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,5.633,23,2077651,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,5.746,25,2077763,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,5.914,28,2077931,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
