t,x,y,heading,speed
1788546160.014495,-37.06517884305551,-18.48796087549531,27.468742043392126,0.0
1788546160.680159,-37.025308817084806,-18.46480001664446,29.393380449576625,0.0
1788546164.582576,-37.0328435982849,-18.467802793383512,29.32254835588867,0.0
1788546166.316154,-37.017015335441144,-18.504008967368605,29.186381113199587,0.0
1788546167.5943239,-37.0367587807613,-18.499716318078544,29.177141793530154,0.0
1788546168.6487439,-37.03609456125268,-18.569352603491666,27.193691446267223,0.0
1788546170.347445,-37.03721991927701,-18.477879491031302,29.56852485635298,0.0
1788546172.879992,-37.042768234163844,-18.473188567142635,29.472915758933084,0.0
1788546176.412201,-36.99838305987758,-18.505718302296827,28.97881045028808,0.0
1788546178.220022,-37.00134903008683,-18.523391161867597,28.905423946346986,0.0
1788546181.5150988,-37.02999308639058,-18.47375500099418,29.140534062380425,0.0
1788546184.741358,-37.037164318648436,-18.461536058169848,29.6884374052284,0.0
1788546186.010528,-37.03188822937177,-18.47964846801713,29.194233787946587,0.0
1788546186.44418,-36.99784636548223,-18.51203166157686,28.79351774138368,0.0
1788546186.79548,-37.02690674775297,-18.504750091783034,29.204745168320756,0.0
1788546187.823904,-37.0378411076512,-18.469081555539045,29.434634627259783,0.0
1788546188.396011,-37.03320293269491,-18.498115611584932,29.148039657481036,0.0
1788546190.653534,-37.02278355983569,-18.506063492110172,29.328261938338642,0.0
1788546191.3355122,-37.04071743598248,-18.47849033380639,29.71818677684155,0.0
1788546191.7915158,-37.060279220629226,-18.486663396224483,27.584569436437278,0.0
1788546192.688386,-37.00111985318269,-18.521725464867405,29.124314912065216,0.0
1788546194.630236,-37.04228460409726,-18.459878766769883,29.827398850745,0.0
1788546195.3481972,-37.027695650747944,-18.468870876920086,29.356221848237084,0.0
1788546197.3036218,-37.03143909812897,-18.46895956945289,29.24632869328059,0.0
1788546199.354014,-37.034597548191954,-18.474732035918105,29.439998752658482,0.0
1788546199.8366878,-36.17841999615379,-19.357168020362145,57.74781564638218,11.420158184115444
1788546200.596035,-33.152719313463265,-19.284537796208557,124.44427298584083,1.6301211317994557
1788546201.454386,-33.10283331571724,-19.247974830037016,124.5910123548764,0.0
1788546201.6661499,-33.088819413371304,-19.278944594132252,122.81940633304521,0.0
1788546202.158087,-33.16303718214774,-19.27258741374077,124.94941793692931,0.0
1788546202.491072,-33.135173756399624,-19.212859297862938,124.48398136013753,0.0
1788546202.843306,-33.15490877271119,-19.27630304856317,124.33850644049176,0.0
1788546203.306085,-33.08625643439995,-19.27080133227736,122.65374360785154,0.0
1788546204.438415,-33.16289709039836,-19.274279544982864,124.40989138639264,0.0
1788546205.108163,-33.11679320611847,-19.25657725052325,124.2077511684463,0.0
1788546205.5096698,-33.11549615006158,-19.246410879979653,124.34139526248316,0.0
1788546206.287162,-33.13435820608345,-19.25474581258487,124.91497335574616,0.0
1788546207.052769,-33.137016253339674,-19.21462600793317,124.53785614666458,0.0
1788546208.150523,-33.176478721889794,-19.265225028438653,124.80226724813656,0.0
1788546208.227818,-33.103403631049424,-19.25451916664945,124.05098409050493,0.0
1788546208.987788,-33.11383663230238,-19.256297058229194,124.7692546224539,0.0
1788546209.7437131,-33.1503090846755,-19.207586876349822,124.800302536679,0.0
1788546209.939734,-33.18315162184108,-19.22405685300365,124.5302522433787,0.0
1788546210.670291,-33.16844689206381,-19.27493073088001,124.82093149484933,0.0
1788546210.6909409,-33.10907841131612,-19.248666482018464,124.4277851769441,0.0
1788546210.951434,-33.115682133526356,-19.255415744739476,124.6904463835616,0.0
1788546211.25465,-33.16849530780977,-19.23189986674023,124.36506481491779,0.0
1788546212.099044,-33.14014258234272,-19.20840927756768,124.39875019537453,0.0
1788546212.1252952,-33.13519318295073,-19.271096227206534,124.09054006799226,0.0
1788546213.142231,-33.13541430775612,-19.208426492436917,124.27160841664659,0.0
1788546214.362089,-33.11719378274027,-19.26465865211348,124.3361260977706,0.0
1788546215.323749,-33.13437223589534,-19.299135680940243,122.8204738117173,0.0
1788546215.6562161,-33.14413580914982,-19.21282874673219,124.59214887544613,0.0
1788546218.460233,-33.18130931150819,-19.221060507305317,124.47852856187473,0.0
1788546220.4039218,-33.108859865598944,-19.258919111556633,124.59075720043256,0.0
1788546221.14841,-33.08187217243506,-19.18916607475725,124.6371923187371,0.0
1788546221.636287,-33.1268544084962,-19.252174889964184,124.59958321662981,0.0
1788546222.7752268,-33.14551987244572,-19.276639323221797,124.44283951764999,0.0
1788546224.569963,-33.166508857971245,-19.266690375997946,124.9725212860186,0.0
1788546225.892875,-33.13162744130693,-19.213011581252946,124.37846535286587,0.0
1788546226.871823,-33.15293060670599,-19.27502343452556,124.34197252854108,0.0
1788546227.192052,-33.12310051725615,-19.246864339524226,124.55125337186746,0.0
1788546228.299756,-33.15310053556972,-19.278495057710618,124.54773181233458,0.0
1788546228.761718,-33.12917919362096,-19.2080050565886,124.2035387471808,0.0
1788546229.913951,-33.1505921159167,-19.26928492414315,124.01948778973906,0.0
1788546231.063447,-33.13354967883793,-19.210128076341533,124.14176170467533,0.0
1788546232.366941,-33.109079652208756,-19.258782571079593,124.41302191409955,0.0
1788546232.93199,-33.11280360319202,-19.250231342887147,124.25792810435382,0.0
1788546233.6184168,-33.147806889271685,-19.27143526263089,124.31077881927604,0.0
1788546235.271366,-33.151250520103375,-19.275572790216245,124.3090487223235,0.0
1788546237.100994,-33.159390988432655,-19.26622509024853,124.18730893866405,0.0
1788546239.500347,-33.16451905881776,-19.267993290407542,124.0950540011105,0.0
1788546240.813766,-33.156030781432676,-19.274160617433246,124.29288801812754,0.0
1788546248.116812,-33.12231715238519,-19.250785662058576,124.50082783106222,0.0
1788546251.668552,-33.12222082217744,-19.260986062494464,124.1571607010253,0.0
1788546253.40684,-33.131257816746285,-19.213356735856117,124.3928786315339,0.0
1788546254.578779,-33.1604309087704,-19.276471254330836,124.45399615297288,0.0
1788546257.485525,-33.513676606922836,-19.378699558512697,116.19828967629229,0.0
1788546259.929333,-37.28529344005539,-18.3034004987375,26.67859362477219,0.0
