turn,commanded,t_rel,seq,now,flags,x,y,h,ox,oy,oh,vl,vr,i2cf,cyc,posl,posr,dutl,dutr,lexc,wrng,cycovr
1,90,-0.002,59,2396151,31,0,-4,46309,0,0,0,0,0,3,295,-7433,7527,0,0,0,0,0
1,90,0.064,60,2396219,31,0,-4,46309,0,0,0,0,0,3,296,-7433,7527,-800,800,0,0,0
1,90,0.138,61,2396291,31,0,-4,46492,0,0,0,-50,58,3,299,-7461,7558,-1200,1100,0,0,0
1,90,0.211,62,2396363,31,0,-4,46678,0,0,0,-32,41,3,302,-7488,7591,-1300,1300,0,0,0
1,90,0.28,63,2396435,31,0,-4,47006,0,0,0,-47,64,3,305,-7538,7647,-1800,1800,0,0,0
1,90,0.352,64,2396507,31,0,-4,47489,0,0,0,-96,91,3,308,-7616,7725,-2200,2300,0,0,0
1,90,0.424,65,2396579,31,0,-3,48182,0,0,0,-128,129,3,311,-7727,7838,-2700,2700,0,0,0
1,90,0.568,67,2396723,31,0,-3,50126,0,0,0,-178,178,3,317,-8038,8155,-2900,2900,0,0,0
1,90,0.641,68,2396795,31,0,-3,51194,0,0,0,-169,169,3,320,-8208,8330,-2900,2900,0,0,0
1,90,0.714,69,2396867,31,-1,-3,52278,0,0,0,-161,178,3,323,-8377,8511,-2900,2800,0,0,0
1,90,0.795,70,2396939,31,0,-3,53346,0,0,0,-172,178,3,326,-8550,8683,-2800,2800,0,0,0
1,90,1.019,72,2397172,31,-1,-3,55785,0,0,0,0,0,3,338,-8933,9088,0,0,0,0,0
1,90,1.068,73,2397223,31,-1,-3,55785,0,0,0,0,0,3,340,-8933,9088,0,0,0,0,0
1,90,1.14,74,2397295,31,-1,-3,55785,0,0,0,0,0,3,343,-8933,9088,0,0,0,0,0
1,90,1.213,75,2397367,31,-1,-3,55785,0,0,0,0,0,3,346,-8933,9088,0,0,0,0,0
1,90,1.284,76,2397439,31,-1,-3,55785,0,0,0,0,0,3,349,-8933,9088,0,0,0,0,0
1,90,1.356,77,2397511,31,-1,-3,55785,0,0,0,0,0,3,352,-8933,9088,0,0,0,0,0
1,90,1.428,78,2397583,31,-1,-3,55785,0,0,0,0,0,3,355,-8933,9088,0,0,0,0,0
1,90,1.5,79,2397655,31,-1,-3,55785,0,0,0,0,0,3,358,-8933,9088,0,0,0,0,0
1,90,1.644,81,2397799,31,-1,-3,55785,0,0,0,0,0,3,364,-8933,9088,0,0,0,0,0
1,90,1.717,82,2397871,31,-1,-3,55785,0,0,0,0,0,3,367,-8933,9088,0,0,0,0,0
1,90,1.788,83,2397943,31,-1,-3,55785,0,0,0,0,0,3,370,-8933,9088,0,0,0,0,0
1,90,1.86,84,2398015,31,-1,-3,55785,0,0,0,0,0,3,373,-8933,9088,0,0,0,0,0
1,90,2.003,86,2398159,31,-1,-3,55785,0,0,0,0,0,3,379,-8933,9088,0,0,0,0,0
1,90,2.076,87,2398231,31,-1,-3,55785,0,0,0,0,0,3,382,-8933,9088,0,0,0,0,0
1,90,2.149,88,2398303,31,-1,-3,55785,0,0,0,0,0,3,385,-8933,9088,0,0,0,0,0
1,90,2.229,89,2398375,31,-1,-3,55785,0,0,0,0,0,3,388,-8933,9088,0,0,0,0,0
1,90,2.291,90,2398447,31,-1,-3,55785,0,0,0,0,0,3,391,-8933,9088,0,0,0,0,0
1,90,2.364,91,2398519,31,-1,-3,55785,0,0,0,0,0,3,394,-8933,9088,0,0,0,0,0
1,90,2.437,92,2398591,31,-1,-3,55785,0,0,0,0,0,3,397,-8933,9088,0,0,0,0,0
1,90,2.508,93,2398663,31,-1,-3,55785,0,0,0,0,0,3,400,-8933,9088,0,0,0,0,0
1,90,2.581,94,2398735,31,-1,-3,55785,0,0,0,0,0,3,403,-8933,9088,0,0,0,0,0
1,90,2.653,95,2398807,31,-1,-3,55785,0,0,0,0,0,3,406,-8933,9088,0,0,0,0,0
1,90,2.724,96,2398879,31,-1,-3,55785,0,0,0,0,0,3,409,-8933,9088,0,0,0,0,0
1,90,2.796,97,2398951,31,-1,-3,55785,0,0,0,0,0,3,412,-8933,9088,0,0,0,0,0
1,90,2.868,98,2399023,31,-1,-3,55785,0,0,0,0,0,3,415,-8933,9088,0,0,0,0,0
1,90,2.939,99,2399095,31,-1,-3,55785,0,0,0,0,0,3,418,-8933,9088,0,0,0,0,0
1,90,3.012,100,2399167,31,-1,-3,55785,0,0,0,0,0,3,421,-8933,9088,0,0,0,0,0
1,90,3.069,101,2399223,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,3.124,102,2399279,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,3.18,103,2399335,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,3.236,104,2399391,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,3.292,105,2399447,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,3.35,106,2399503,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,3.404,107,2399559,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,3.469,108,2399615,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,3.513,109,2399667,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,3.623,111,2399779,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,3.68,112,2399835,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,3.736,113,2399891,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,3.793,114,2399947,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,3.848,115,2400003,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,3.904,116,2400059,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,3.959,117,2400115,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,4.016,118,2400171,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,4.071,119,2400227,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,4.128,120,2400283,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,4.239,122,2400395,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,4.297,123,2400451,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,4.352,124,2400507,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,4.407,125,2400563,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,4.463,126,2400619,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,4.521,127,2400675,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,4.571,0,2400727,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,4.627,1,2400783,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,4.683,2,2400839,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,4.739,3,2400895,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,4.795,4,2400951,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,4.907,6,2401063,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,4.963,7,2401119,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,5.024,8,2401175,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,5.113,9,2401231,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,5.135,10,2401287,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,5.189,11,2401343,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,5.249,12,2401399,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,5.3,13,2401455,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,5.355,14,2401511,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,5.524,17,2401679,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,5.598,18,2401735,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,5.652,19,2401787,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,5.692,20,2401843,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,5.746,21,2401899,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,5.857,23,2402011,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,5.911,24,2402067,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,5.968,25,2402123,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,6.023,26,2402179,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,6.191,29,2402347,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,6.249,30,2402403,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,6.303,31,2402459,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,6.36,32,2402515,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,6.415,33,2402571,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,6.471,34,2402627,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,6.527,35,2402683,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,6.585,36,2402739,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,6.748,39,2402903,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,6.805,40,2402959,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,6.859,41,2403015,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,6.915,42,2403071,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,6.971,43,2403127,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,7.027,44,2403183,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,7.084,45,2403239,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,7.14,46,2403295,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,7.196,47,2403351,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,7.253,48,2403407,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,7.363,50,2403519,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,7.419,51,2403575,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,7.476,52,2403631,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,7.531,53,2403687,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,7.587,54,2403743,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,7.643,55,2403799,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,7.708,56,2403855,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,7.752,57,2403907,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,7.808,58,2403963,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
1,90,7.863,59,2404019,31,-1,-3,55785,0,0,0,0,0,3,423,-8933,9088,0,0,0,0,0
