turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
1,90,0,4,stop,95.15,5.15,94.65,25,94.76,4.76,-37.03,-18.49,-33.13,-19.25,3.98,178,178,0.66,361,1
2,-90,0,5,stop,-95.66,-5.66,-94.85,15,-93.64,-3.64,-33.14,-19.26,-37.25,-18.26,4.23,179,187,0.77,452,1
3,107,0,6,stop,114.88,7.88,111.23,12,110.26,3.26,-37.28,-18.3,-32.63,-18.21,4.65,187,178,0.86,293,1
4,-107,0,7,stop,-113.43,-6.43,-112.97,19,-111.38,-4.38,-32.64,-18.21,-37.31,-17.93,4.68,178,187,0.78,174,1
5,180,0,8,stop,202.11,22.11,199.53,20,181.25,1.25,-37.3,-17.99,-34.89,-15.93,3.18,178,187,1.42,193,1
6,-180,0,9,stop,-0.03,179.97,-0.69,11,2.69,182.69,-34.89,-15.93,-34.89,-15.95,0.02,0,0,0.0,216,1
8,90,0,10,stop,94.74,4.74,95.06,15,93.83,3.83,-44.89,28.98,-45.69,25.2,3.86,172,178,0.72,214,1
9,-107,0,11,stop,-112.36,-5.36,-110.75,15,-111.63,-4.63,-45.7,25.19,-43.41,29.3,4.7,178,187,0.84,146,1
10,107,0,12,stop,112.19,5.19,111.68,16,111.01,4.01,-43.43,29.3,-44.94,25.26,4.32,178,188,0.86,154,1
11,-180,0,13,stop,-186.4,-6.4,-185.9,18,-182.21,-2.21,-44.95,25.26,-39.78,27.65,5.69,178,178,1.32,284,1
12,180,0,14,stop,183.38,3.38,-173.55,11,182.11,2.11,-39.78,27.65,-44.87,25.13,5.68,178,193,1.4,312,1
13,90,0,15,stop,96.36,6.36,93.73,13,93.99,3.99,-44.86,25.13,-40.76,24.29,4.19,163,187,0.72,172,1
14,-90,0,16,stop,-97.27,-7.27,-97.5,15,-94.73,-4.73,-40.77,24.29,-44.98,25.38,4.36,169,187,0.76,184,1
15,107,0,17,stop,111.47,4.47,111.43,15,109.96,2.96,-44.99,25.38,-40.16,24.92,4.85,172,180,0.83,202,1
16,-107,0,18,stop,-112.29,-5.29,-111.25,12,-110.51,-3.51,-40.16,24.92,-44.98,25.43,4.85,169,178,0.84,220,1
17,180,0,19,stop,183.79,3.79,178.78,10,181.46,1.46,-44.98,25.43,-39.75,27.69,5.69,178,178,1.37,350,1
18,-180,0,20,stop,-185.68,-5.68,-185.44,14,-182.58,-2.58,-39.76,27.69,-44.44,25.31,5.25,172,181,1.37,252,1
19,-90,0,21,stop,-95.09,-5.09,-92.97,15,-93.64,-3.64,-44.44,25.31,-43.06,29.12,4.05,187,195,0.69,237,1
20,90,0,22,stop,95.75,5.75,94.25,14,94.41,4.41,-43.06,29.13,-44.27,25.6,3.74,178,187,0.79,215,1
21,-107,0,23,stop,-112.57,-5.57,-110.54,15,-110.63,-3.63,-44.26,25.6,-42.14,29.45,4.4,178,204,0.87,191,1
22,107,0,24,stop,111.65,4.65,110.21,13,109.89,2.89,-42.14,29.45,-44.26,25.72,4.28,178,181,0.84,172,
23,-180,0,25,stop,-186.72,-6.72,-187.44,18,-181.52,-1.52,-44.26,25.72,-39.08,27.84,5.6,181,181,1.41,221,1
24,180,0,26,stop,185.14,5.14,-173.64,13,181.43,1.43,-39.08,27.83,-44.31,26.03,5.53,187,178,1.42,265,1
