turn,commanded,t_rel,seq,now,flags,x,y,h,ox,oy,oh,vl,vr,i2cf,cyc,posl,posr,dutl,dutr,lexc,wrng,cycovr
1,90,-0.011,50,3670305,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,0.029,51,3670355,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,0.086,52,3670411,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,0.143,53,3670467,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,0.197,54,3670523,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,0.255,55,3670579,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,0.309,56,3670635,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,0.366,57,3670691,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,0.486,59,3670803,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,0.53,60,3670855,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,0.586,61,3670911,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,0.643,62,3670967,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,0.697,63,3671023,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,0.811,65,3671135,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,0.865,66,3671191,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,0.923,67,3671247,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,0.977,68,3671303,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,1.09,70,3671415,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,1.146,71,3671471,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,1.315,74,3671639,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,1.369,75,3671695,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,1.426,76,3671751,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,1.485,77,3671807,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,1.546,78,3671863,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,1.591,79,3671915,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,1.648,80,3671971,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,1.758,82,3672083,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,1.814,83,3672139,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,1.87,84,3672195,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,1.926,85,3672251,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,1.982,86,3672307,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,2.038,87,3672363,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,2.094,88,3672419,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,2.15,89,3672475,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,2.206,90,3672531,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,2.318,92,3672643,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,2.373,93,3672699,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,2.429,94,3672755,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,2.486,95,3672811,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,2.544,96,3672867,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,2.61,97,3672923,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,2.65,98,3672975,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,2.707,99,3673031,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,2.761,100,3673087,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,2.818,101,3673143,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,2.873,102,3673199,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,2.929,103,3673255,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,2.987,104,3673311,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,3.042,105,3673368,31,10,-4,73767,0,0,0,0,0,32,2202,-11480,12350,0,0,0,1,0
1,90,3.095,106,3673419,31,10,-4,73800,0,0,0,-8,20,32,2204,-11483,12358,-1000,1000,0,1,0
1,90,3.167,107,3673491,31,10,-4,73982,0,0,0,-18,32,32,2207,-11511,12391,-1200,1100,0,1,0
1,90,3.239,108,3673563,31,11,-4,74230,0,0,0,-41,47,32,2210,-11547,12438,-1400,1300,0,1,0
1,90,3.313,109,3673635,31,11,-4,74570,0,0,0,-50,82,32,2213,-11594,12505,-2000,1900,0,1,0
1,90,3.386,110,3673707,31,12,-4,75134,0,0,0,-96,105,32,2216,-11683,12605,-2400,2400,0,1,0
1,90,3.441,111,3673757,31,12,-3,75624,0,0,0,-105,137,32,2218,-11761,12691,-2600,2600,0,1,0
1,90,3.576,113,3673899,31,12,-3,77574,0,0,0,-172,187,32,2224,-12075,13030,-2900,2900,0,1,0
1,90,3.718,115,3674043,31,13,-2,79706,0,0,0,-172,170,32,2230,-12425,13394,-2700,2800,0,1,0
1,90,3.863,117,3674187,31,13,-2,81787,0,0,0,-178,172,32,2236,-12769,13747,-2700,2600,0,1,0
1,90,4.039,118,3674364,31,13,-3,83247,0,0,0,0,0,32,2246,-13033,13972,0,0,0,1,0
1,90,4.146,120,3674467,31,13,-3,83247,0,0,0,0,0,32,2248,-13033,13972,0,0,0,1,0
1,90,4.197,121,3674523,31,13,-3,83247,0,0,0,0,0,32,2248,-13033,13972,0,0,0,1,0
1,90,4.253,122,3674579,31,13,-3,83247,0,0,0,0,0,32,2248,-13033,13972,0,0,0,1,0
1,90,4.365,124,3674691,31,13,-3,83247,0,0,0,0,0,32,2248,-13033,13972,0,0,0,1,0
1,90,4.421,125,3674747,31,13,-3,83247,0,0,0,0,0,32,2248,-13033,13972,0,0,0,1,0
1,90,4.478,126,3674803,31,13,-3,83247,0,0,0,0,0,32,2248,-13033,13972,0,0,0,1,0
1,90,4.534,127,3674859,31,13,-3,83247,0,0,0,0,0,32,2248,-13033,13972,0,0,0,1,0
