turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
1,90,0,6,stop,100.0,10.0,98.83,22,94.8,4.8,-44.31,26.03,-40.08,24.92,4.38,178,187,0.77,237,1
2,-90,0,7,stop,-102.47,-12.47,-102.11,17,-95.64,-5.64,-40.08,24.91,-44.44,26.33,4.59,169,201,0.8,248,1
3,107,0,8,stop,117.7,10.7,118.25,16,111.22,4.22,-44.44,26.31,-39.64,25.61,4.85,181,178,0.92,306,1
4,-107,0,9,stop,-118.67,-11.67,-119.99,11,-112.32,-5.32,-39.63,25.59,-44.6,26.5,5.05,169,178,0.79,232,1
5,180,0,10,stop,192.62,12.62,193.2,22,183.0,3.0,-44.61,26.5,-39.39,28.47,5.58,187,187,1.5,304,1
6,-180,0,11,stop,-194.09,-14.09,-193.76,13,-182.82,-2.82,-39.4,28.48,-44.29,26.15,5.42,178,184,1.51,246,1
7,-90,0,12,stop,-100.0,-10.0,-98.53,13,-94.71,-4.71,-44.29,26.13,-42.23,29.85,4.25,178,175,0.62,160,1
8,90,0,13,stop,102.27,12.27,102.11,15,95.54,5.54,-42.21,29.84,-43.93,26.21,4.02,178,196,0.74,227,1
9,-107,0,14,stop,-120.67,-13.67,-120.67,17,-112.11,-5.11,-43.92,26.22,-41.16,29.87,4.58,178,183,0.84,223,1
10,107,0,15,stop,116.06,9.06,117.51,16,110.56,3.56,-41.15,29.89,-43.96,26.39,4.49,178,178,0.93,226,1
11,-180,0,16,stop,-193.97,-13.97,-193.0,18,-184.22,-4.22,-43.97,26.39,-38.94,27.33,5.12,181,184,1.42,258,1
12,180,0,17,stop,193.11,13.11,191.74,24,184.13,4.13,-38.94,27.32,-44.23,26.63,5.34,178,187,1.5,140,1
