--- HELLO ---
<<< device NEZHA2 robot tigez 3527777815
--- STATUS (pre-flight) ---
<<< status ready=0 active=0 connL=0 connR=0 otos=0 wedge=0 flags=0 i2cf=0 cyc=0 tlm=off next=1 done=0 reason=none
STATUS: status ready=0 active=0 connL=0 connR=0 otos=0 wedge=0 flags=0 i2cf=0 cyc=0 tlm=off next=1 done=0 reason=none
--- TLM POSE ---
>>> TLM POSE #1
<<< ack 1 0 none
<<< thdr seq now flags x y h ox oy oh vl vr i2cf
<<< t 1 79751 0 0 0 0 0 0 0 0 0 0
<<< t 2 79807 0 0 0 0 0 0 0 0 0 0
<<< t 3 79863 0 0 0 0 0 0 0 0 0 0
<<< t 4 79919 0 0 0 0 0 0 0 0 0 0
<<< t 5 79975 0 0 0 0 0 0 0 0 0 0
<<< t 6 80031 0 0 0 0 0 0 0 0 0 0
<<< t 7 80087 0 0 0 0 0 0 0 0 0 0
<<< t 8 80143 0 0 0 0 0 0 0 0 0 0
<<< t 9 80199 0 0 0 0 0 0 0 0 0 0
<<< t 10 80255 0 0 0 0 0 0 0 0 0 0
<<< t 11 80311 0 0 0 0 0 0 0 0 0 0
<<< t 12 80367 0 0 0 0 0 0 0 0 0 0
<<< t 13 80423 0 0 0 0 0 0 0 0 0 0
<<< t 14 80479 0 0 0 0 0 0 0 0 0 0
<<< t 15 80535 0 0 0 0 0 0 0 0 0 0
<<< t 16 80591 0 0 0 0 0 0 0 0 0 0
<<< t 17 80647 0 0 0 0 0 0 0 0 0 0
<<< t 18 80703 0 0 0 0 0 0 0 0 0 0
<<< t 19 80759 0 0 0 0 0 0 0 0 0 0
POSE BEFORE FIRST PIVOT: {'seq': '19', 'now': '80759', 'flags': '0', 'x': '0', 'y': '0', 'h': '0', 'ox': '0', 'oy': '0', 'oh': '0', 'vl': '0', 'vr': '0', 'i2cf': '0'}
--- first pivot: MOVE_X 0 250 60 3000 ---
>>> MOVE_X 0 250 60 3000 #2
<<< ack 2 0 none
<<< thdr seq now flags x y h ox oy oh vl vr i2cf
<<< t 20 80819 31 0 0 38 0 0 0 -14 14 0
<<< t 21 80891 31 -1 0 218 0 0 0 -46 16 0
<<< t 22 80963 31 -1 0 564 0 0 0 -56 56 0
<<< t 23 81035 31 0 0 1012 0 0 0 -75 82 0
<<< t 24 81132 31 -1 0 1471 0 0 0 0 0 0
<<< t 25 81183 31 -1 0 1471 0 0 0 0 0 0
<<< t 26 81255 31 -1 0 1471 0 0 0 0 0 0
